DNA Tube ID	Specimen ID	Extracted	Extracted By	Finclip Completely Used	Genome Sequenced (y/n)	on Scicore	second file	Species ID	Sex	Morph	Whole Specimen	Date (YYYY.MM.DD)	Standard Length (cm)	Total Length (cm)	Weight (g)	location
IXF7	S_IXF7							Treuni	NA		S_IXF7	2014.07.27	9.1		18.3	Chipwa Fishermen
IXF8	S_IXF8							Treuni	NA		S_IXF8	2014.07.27	11.4	14.5	36.9	Chipwa Fishermen
IXF9	S_IXF9							Treuni	NA		S_IXF9	2014.07.27	7.0	8.7	8.1	Chipwa Fishermen
IXG1	S_IXG1							Treuni	M		S_IXG1	2014.07.27	10.6	13.6	26.7	Chipwa Fishermen
IXG2	S_IXG2							Batgra	NA		S_IXG2	2014.07.27	16.4	20.5	72.7	Chipwa Fishermen
IXG3	S_IXG3							Batgra	NA		S_IXG3	2014.07.27	12.4	15.5	25.7	Chipwa Fishermen
IXG4	S_IXG4							Xencau	NA		S_IXG4	2014.07.27	10.1	13.0	20.4	Chipwa Fishermen
IXG5	S_IXG5							Xencau	NA		S_IXG5	2014.07.27	10.0	13.0	20.8	Chipwa Fishermen
IXG6	S_IXG6							Benmel	NA		S_IXG6	2014.07.27	15.0	18.3	53.7	Chipwa Fishermen
IXG7	S_IXG7							Gwcchr	NA		S_IXG7	2014.07.27	11.4	13.7	35.0	Chipwa Fishermen
IXG8	S_IXG8							Gwcsta	NA		S_IXG8	2014.07.27	12.5	14.9	51.7	Chipwa Fishermen
IXG9	S_IXG9							Gwcsta	NA		S_IXG9	2014.07.27	13.5	17.1	64.2	Chipwa Fishermen
IXH1	S_IXH1							Gwcsta	NA		S_IXH1	2014.07.27	11.9	14.3	43.7	Chipwa Fishermen
IXH2	S_IXH2							Gwcsta	NA		S_IXH2	2014.07.27	13.8	16.5	69.5	Chipwa Fishermen
IXH3	S_IXH3							Gwcsta	NA		S_IXH3	2014.07.27	12.5	15.7	51.5	Chipwa Fishermen
RIA1	S_RIA1							Loblab	F			2017.08.07	8.9	10.4	21.0	Toby's Place
RIA2	S_RIA2							Loblab	M			2017.08.07	12.4	14.8	49.5	Toby's Place
RIA4	S_RIA4							Psccur	F			2017.08.07	9.5	11.4	28.2	Toby's Place
RIA5	S_RIA5							Psccur	F			2017.08.07	8.5	10.7	19.9	Toby's Place
IXH4	S_IXH4							Gwcsta	NA		S_IXH4	2014.07.27	11.8	14.8	39.9	Chipwa Fishermen
IXH5	S_IXH5							Gwcbel	NA		S_IXH5	2014.07.27	11.2	13.9	37.2	Chipwa Fishermen
IXH6	S_IXH6							Gwcbel	NA		S_IXH6	2014.07.27	13.8	16.8	58.7	Chipwa Fishermen
IXH7	S_IXH7							Gwcbel	NA		S_IXH7	2014.07.27	11.4	14.1	37.1	Chipwa Fishermen
IXH8	S_IXH8							Gwcbel	NA		S_IXH8	2014.07.27	14.0	17.0	65.2	Chipwa Fishermen
IXH9	S_IXH9							Baicen	M			2014.07.28	13.2	16.1	34.4	Chipwa Fishermen
IXI1	S_IXI1							Gwcbel	M		S_IXI1	2014.07.28	14.3	17.1	61.3	Chipwa Fishermen
IXI2	S_IXI2							Gwcbel	F		S_IXI2	2014.07.28	12.1	14.9	40.5	Chipwa Fishermen
IXI3	S_IXI3							Benmel	NA		S_IXI3	2014.07.28	15.0	18.6	67.5	Chipwa Fishermen
IXI4	S_IXI4							Benmel	NA		S_IXI4	2014.07.28	16.3	20.1	67.9	Chipwa Fishermen
IXI5	S_IXI5							Benmel	NA		S_IXI5	2014.07.28	14.7	18.2	58.5	Chipwa Fishermen
IXI6	S_IXI6							Benmel	NA		S_IXI6	2014.07.28	15.8	19.4	66.7	Chipwa Fishermen
IXI7	S_IXI7							Benmel	NA		S_IXI7	2014.07.28	14.5	17.6	47.9	Chipwa Fishermen
IXI8	S_IXI8							Benmel	NA		S_IXI8	2014.07.28	15.3	18.7	66.4	Chipwa Fishermen
IXI9	S_IXI9							Benmel	NA		S_IXI9	2014.07.28	12.2	15.1	26.3	Chipwa Fishermen
IYA8	S_IYA8	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IYA8		Cteben	F			2014.07.29	11.1	13.0	32.6	Chipwa Fishermen
IYB4	S_IYB4							Regcal	F		S_IYB4	2014.07.29	8.7	10.5	11.1	Chipwa Fishermen
IZA2	S_IZA2	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IZA2		Benmel	F			2014.07.28	17.2	21.1	84.9	Chipwa Fishermen
IZA3	S_IZA3							Benmel	F			2014.07.28	16.4	20.2	71.3	Chipwa Fishermen
IZA4	S_IZA4							Benmel	F		S_IZA4	2014.07.28	14.2	17.4	48.3	Chipwa Fishermen
IZA5	S_IZA5	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IZA5		HemstZ	NA		S_IZA5	2014.07.28	24.2	29.1	262.6	Chipwa Fishermen
IZA6	S_IZA6							Lchaur	F		S_IZA6	2014.07.28	10.3	12.7	25.1	Chipwa Fishermen
IZA7	S_IZA7							Lchaur	NA			2014.07.28	9.6	11.5	22.7	Chipwa Fishermen
IZA8	S_IZA8	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IZA8		Plemul	F			2014.07.28	9.5	11.6	14.7	Chipwa Fishermen
IZA9	S_IZA9	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IZA9		Plemul	M			2014.07.28	8.4	10.3	10.4	Chipwa Fishermen
IZB1	S_IZB1	true	Fabrizia	false	false			HemstZ	F			2014.07.28	20.2	24.8	158.5	Chipwa Fishermen
IZB2	S_IZB2	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IZB2_A	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IZB2_B	Perecc	M	left		2014.07.28	9.4	11.5	15.3	Chipwa Fishermen
IZB4	S_IZB4							Perecc	NA		S_IZB4	2014.07.28	13.6	17.1	49.5	Chipwa Fishermen
IZB5	S_IZB5							Regcal	NA		S_IZB5	2014.07.28	10.7	13.1	22.4	Chipwa Fishermen
IZB6	S_IZB6							Boumic	NA		S_IZB6	2014.07.28	14.2	17.4	43.9	Chipwa Fishermen
IZB7	S_IZB7							Xencau	M			2014.07.28	10.1	13.1	23.0	Chipwa Fishermen
IZB8	S_IZB8							Xchhec	M		S_IZB8	2014.07.28	19.1	22.8	125.9	Chipwa Fishermen
IZB9	S_IZB9							Xchhec	M		S_IZB9	2014.07.28	17.2	20.8	102.4	Chipwa Fishermen
IZC1	S_IZC1							Xchhec	M		S_IZC1	2014.07.28	15.1	18.5	74.8	Chipwa Fishermen
IZC2	S_IZC2							Xchhec	M		S_IZC2	2014.07.28	15.2	18.5	72.3	Chipwa Fishermen
IZC3	S_IZC3							Xencau	NA		S_IZC3	2014.07.28	10.2	13.3	23.4	Chipwa Fishermen
IZC4	S_IZC4	true	Fabrizia					Xencau	F			2014.07.28	10.2	13.1	20.2	Chipwa Fishermen
IZC7	S_IZC7	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IZC7		XenniS	M			2014.07.28	8.2	11.9	10.8	Chipwa Fishermen
IZC8	S_IZC8							XenniS	M			2014.07.28	7.6	10.4	9.4	Chipwa Fishermen
IZC9	S_IZC9							Gwcbel	NA		S_IZC9	2014.07.28	12.9	15.9	43.5	Chipwa Fishermen
IZD1	S_IZD1							Gwcbel	NA		S_IZD1	2014.07.28	14.7	18.0	69.7	Chipwa Fishermen
IZD2	S_IZD2							Gwcbel	NA		S_IZD2	2014.07.28	14.6	17.5	59.5	Chipwa Fishermen
IZD3	S_IZD3							Gwcbel	NA		S_IZD3	2014.07.28	14.2	17.3	56.0	Chipwa Fishermen
IZD4	S_IZD4							Batfas	M		S_IZD4	2014.07.28	20.3	24.7	102.8	Chipwa Fishermen
IZD6	S_IZD6							XenniS	NA		S_IZD6	2014.07.28	8.1	10.8	10.1	Chipwa Fishermen
IZE1	S_IZE1	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IZE1		Tresti	M			2014.07.28	5.8	7.6	5.1	Chipwa Fishermen
IZE2	S_IZE2							Tresti	M			2014.07.28	5.7	7.1	4.2	Chipwa Fishermen
IZE4	S_IZE4	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IZE4		Gwcchr	M			2014.07.28	12.7	15.4	48.2	Chipwa Fishermen
IZF1	S_IZF1	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IZF1		Gwcchr	F			2014.07.28	12.4	14.6	42.3	Chipwa Fishermen
IZF2	S_IZF2							Gwcchr	NA		S_IZF2	2014.07.28	11.3	13.8	38.7	Chipwa Fishermen
IZF3	S_IZF3							Gwcchr	NA		S_IZF3	2014.07.28	12.2	14.7	44.2	Chipwa Fishermen
IZF9	S_IZF9							Tresti	M		S_IZF9	2014.07.28	6.2	8.1	5.8	Chipwa Fishermen
IZG1	S_IZG1							Tresti	M		S_IZG1	2014.07.28	5.3	6.9	3.8	Chipwa Fishermen
IZG3	S_IZG3							Tresti	M		S_IZG3	2014.07.28	5.7	7.2	4.7	Chipwa Fishermen
IZG4	S_IZG4							Tresti	M		S_IZG4	2014.07.28	5.9	7.6	5.3	Chipwa Fishermen
IZG5	S_IZG5							Tresti	M		S_IZG5	2014.07.28	5.4	7.1	4.4	Chipwa Fishermen
IZH3	S_IZH3							TeldhS	NA		S_IZH3	2014.07.28	6.6	7.9	6.8	Chipwa Fishermen
IZH4	S_IZH4							TeldhS	NA		S_IZH4	2014.07.28	7.4	9.3	9.5	Chipwa Fishermen
JAA1	S_JAA1							Xencau	F		S_JAA1	2014.07.29	9.0	11.3	12.1	Chipwa Fishermen
JAA2	S_JAA2							Xencau	NA		S_JAA2	2014.07.29	9.4	12.1	15.3	Chipwa Fishermen
JAA3	S_JAA3							Xencau	NA		S_JAA3	2014.07.29	9.0	11.6	14.3	Chipwa Fishermen
JAA4	S_JAA4							Xencau	NA		S_JAA4	2014.07.29	8.1	10.6	11.5	Chipwa Fishermen
JAA5	S_JAA5							XenorS	M			2014.07.29	9.7	12.2	21.3	Chipwa Fishermen
JAB5	S_JAB5	true	Fabrizia					Oretan	M			2014.07.30	23.5	28.6	400.5	Chipwa Fishermen
JAB6	S_JAB5	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAB6_A	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAB6_B	Oretan	M			2014.07.30	23.5	28.6	400.5	Chipwa Fishermen
JAB7	S_JAB7	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAB7		Baicen	M		S_JAB7	2014.07.30	13.9	16.6	36.5	Chipwa Fishermen
JAB8	S_JAB8							Baicen	F		S_JAB8	2014.07.30	14.1	16.3	39.5	Chipwa Fishermen
JAC2	S_JAC2							Tremac	M		S_JAC2	2014.07.30	8.3	10.5	8.6	Chipwa Fishermen
JAC3	S_JAC3							Tremac	F			2014.07.30	7.1	8.9	5.9	Chipwa Fishermen
JAC4	S_JAC4							Plemul	NA		S_JAC4	2014.07.30	8.5	10.5	10.7	Chipwa Fishermen
JAC5	S_JAC5							Gnaper	NA		S_JAC5	2014.07.30	13.4	16.7	55.1	Chipwa Fishermen
JAC6	S_JAC6	true	Fabrizia					Oretan	F			2014.07.30	24.8	29.9	495.3	Chipwa Fishermen
JAC7	S_JAC6	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAC7_A	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAC7_B	Oretan	F			2014.07.30	24.8	29.9	495.3	Chipwa Fishermen
IXB3	S_IXB3							Gwcsta	M			2014.07.27	13.6	16.6	64.3	Chipwa Fishermen
JAC8	S_JAC8							Xchhec	NA		S_JAC8	2014.07.30	11.2	13.7	27.6	Chipwa Fishermen
JAD2	S_JAD2							Lchaur	NA		S_JAD2	2014.07.30	9.4	11.3	23.4	Chipwa Fishermen
JAD3	S_JAD3							Gwcabe	NA		S_JAD3	2014.07.30	17.6	20.9	99.5	Chipwa Fishermen
JAD5	S_JAD5							TelteS	NA		S_JAD5	2014.07.30	6.7	8.3	6.7	Toby's Place
JAD6	S_JAD6							Xenspi	NA		S_JAD6	2014.07.30	6.6	8.4	5.6	Toby's Place
JAD8	S_JAD8							Permic	NA		S_JAD8	2014.07.30	7.2	9.0	7.0	Toby's Place
JAE8	S_JAE8							Batvit	NA			2014.07.31	30.4	36.1	344.5	Chipwa Fishermen
JAE9	S_JAE9	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAE9		Baicen	F			2014.07.31	15.1	17.6	49.7	Chipwa Fishermen
JAF1	S_JAF1							Baicen	F			2014.07.31	14.0	16.6	39.3	Chipwa Fishermen
JAF3	S_JAF2							Oretan	M			2014.07.30	25.3	30.3	562.4	Chipwa Fishermen
JAF2	S_JAF2							Oretan	M			2014.07.30	25.3	30.3	562.4	Chipwa Fishermen
JAF4	S_JAF4							Gwcchr	F			2014.07.31	12.6	15.0	45.3	Chipwa Fishermen
JAF5	S_JAF5	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAF5		Lchaur	M			2014.07.31	11.7	14.0	33.8	Chipwa Fishermen
JAF6	S_JAF6							Gwcabe	M			2014.07.31	17.9	22.2	132.8	Chipwa Fishermen
JAG2	S_JAG1	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAG2_A	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAG2_B	Tylpol	M			2014.07.31	20.3	25.1	225.7	Chipwa Fishermen
JAG1	S_JAG1	true	Fabrizia					Tylpol	M			2014.07.31	20.3	25.1	225.7	Chipwa Fishermen
JAG3	S_JAG3							Baicen	M		S_JAG3	2014.07.31	14.8	17.8	54.8	Chipwa Fishermen
JAG4	S_JAG4							Regcal	M		S_JAG4	2014.07.31	11.3	13.4	19.9	Chipwa Fishermen
JAH4	S_JAH4							Tylpol	F			2014.07.31	22.7	28.0	271.8	Chipwa Fishermen
JAH5	S_JAH4	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAH5_A	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAH5_B	Tylpol	F			2014.07.31	22.7	28.0	271.8	Chipwa Fishermen
JAH6	S_JAH6							Regcal	M		S_JAH6	2014.07.31	9.1	11.0	12.3	Chipwa Fishermen
JAH7	S_JAH7	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAH7		Xchhec	F			2014.07.31	14.4	17.6	59.9	Chipwa Fishermen
JAH8	S_JAH8							Lchaur	M			2014.07.31	9.9	12.1	24.2	Chipwa Fishermen
JAI5	S_JAI5							Gwcabe	M		S_JAI5	2014.07.31	14.5	17.7	63.7	Chipwa Fishermen
JAI6	S_JAI6							Gwcabe	M		S_JAI6	2014.07.31	15.6	19.1	76.8	Chipwa Fishermen
JAI7	S_JAI7							Gwcabe	F		S_JAI7	2014.07.31	17.1	20.2	112.1	Chipwa Fishermen
JAI8	S_JAI8							Batvit	F		S_JAI8	2014.07.31	19.3	23.1	96.3	Chipwa Fishermen
JCA1	S_JCA1							Lchaur	NA		S_JCA1	2014.07.31	11.4	13.7	32.3	Chipwa Fishermen
LND4	S_LND4							Neomod	F			2016.08.22	6.9	8.5	7.6	Toby's Place
JCA4	S_JCA3							Oretan	F			2014.07.31	27.3	31.9	538.8	Chipwa Fishermen
JCA3	S_JCA3							Oretan	F			2014.07.31	27.3	31.9	538.8	Chipwa Fishermen
JCB5	S_JCB5							Batvit	F		S_JCB5	2014.07.31	18.3	22.1	82.4	Chipwa Fishermen
JCB6	S_JCB6							Gwcchr	NA		S_JCB6	2014.07.31	11.4	13.5	35.6	Chipwa Fishermen
JAE1	S_JAE1	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JAE1		Petfas	F			2014.07.30	7.3	9.0	13.3	Toby's Place
JAE2	S_JAE2							Simdia	F		S_JAE2	2014.07.30	7.0	8.4	11.8	Toby's Place
JAE3	S_JAE3							Altfas	NA		S_JAE3	2014.07.30	7.3	8.8	6.6	Toby's Place
JAE4	S_JAE4							Simple	M			2014.07.30	6.9	8.2	10.3	Toby's Place
JCC6	S_JCC6							Baicen	M		S_JCC6	2014.07.31	14.4	17.3	44.5	Chipwa Fishermen
JCC7	S_JCC7							Baicen	M		S_JCC7	2014.07.31	14.6	17.2	45.8	Chipwa Fishermen
JCC8	S_JCC8							Baicen	M		S_JCC8	2014.07.31	13.8	16.4	42.8	Chipwa Fishermen
JCC9	S_JCC9							Baicen	F		S_JCC9	2014.07.31	13.7	16.5	39.3	Chipwa Fishermen
JCD1	S_JCD1							Baicen	NA		S_JCD1	2014.07.31	12.9	15.4	34.8	Chipwa Fishermen
JCD2	S_JCD2							Regcal	F			2014.07.31	11.8	13.5	19.6	Chipwa Fishermen
JCD3	S_JCD3							Regcal	M?		S_JCD3	2014.07.31	12.9	14.7	30.6	Chipwa Fishermen
JCD4	S_JCD4							Regcal	M		S_JCD4	2014.07.31	9.1	11.2	12.9	Chipwa Fishermen
JCD5	S_JCD5							Regcal	M		S_JCD5	2014.07.31	9.3	11.5	10.9	Chipwa Fishermen
JCD6	S_JCD6							Benmel	M		S_JCD6	2014.07.31	14.6	18.0	24.9	Chipwa Fishermen
JCD7	S_JCD7							Benmel	M		S_JCD7	2014.07.31	14.3	17.9	23.3	Chipwa Fishermen
JCD8	S_JCD8							Gwcabe	NA		S_JCD8	2014.07.31	19.4	23.5	162.9	Chipwa Fishermen
JCD9	S_JCD9							Lchaur	NA		S_JCD9	2014.07.31	10.9	12.2	25.6	Chipwa Fishermen
JCE1	S_JCE1							Lchaur	NA		S_JCE1	2014.07.31	9.7	11.9	26.7	Chipwa Fishermen
JCE2	S_JCE2							Xencau	NA		S_JCE2	2014.07.31	11.7	15.5	39.5	Chipwa Fishermen
JCE3	S_JCE3							Xencau	NA		S_JCE3	2014.07.31	9.1	12.0	17.6	Chipwa Fishermen
JCE4	S_JCE4							Gwcchr	NA		S_JCE4	2014.07.31	11.3	13.7	40.1	Chipwa Fishermen
JCE5	S_JCE5							Gwcchr	NA		S_JCE5	2014.07.31	11.8	14.0	39.5	Chipwa Fishermen
JCE6	S_JCE6							Gwcchr	NA		S_JCE6	2014.07.31	11.9	14.2	41.9	Chipwa Fishermen
JCE7	S_JCE7							Gwcchr	NA		S_JCE7	2014.07.31	11.2	13.3	36.0	Chipwa Fishermen
JCE8	S_JCE8							Gwcchr	NA		S_JCE8	2014.07.31	11.4	13.9	36.4	Chipwa Fishermen
RJH5	S_RJH5							Neobre	M			2017.08.18	3.3	3.9	1.0	Korongwe
RJH6	S_RJH6							Neobre	M			2017.08.18	3.5	4.1	1.3	Korongwe
RJH7	S_RJH7							Neobre	M			2017.08.18	3.4	4.1	1.3	Korongwe
RJH8	S_RJH8							Neobre	M			2017.08.18	3.4	4.0	1.4	Korongwe
RJH9	S_RJH9							Neobre	F			2017.08.18	2.6	3.1	0.5	Korongwe
RJI1	S_RJI1							Neobre	M			2017.08.18	3.5	4.1	1.4	Korongwe
RJI2	S_RJI2							Neobre	F			2017.08.18	2.7	3.2	0.7	Korongwe
RJI3	S_RJI3							Neoese	M			2017.08.19	8.6	10.7	12.9	Kasowo
RJI4	S_RJI4							Neoese	M			2017.08.19	8.5	10.9	14.4	Kasowo
RJI5	S_RJI5							Neoese	M			2017.08.19	7.6	9.8	10.2	Kasowo
RJI6	S_RJI6							Neoese	F			2017.08.19	6.6	8.3	6.9	Kasowo
RJI7	S_RJI7							Neoese	M			2017.08.19	8.3	10.3	11.5	Kasowo
RJI8	S_RJI8							Neoese	F			2017.08.19	8.6	10.6	14.6	Kasowo
RJI9	S_RJI9							Neoese	F			2017.08.19	8.2	10.5	11.8	Kasowo
KEG3	S_KEG3							Chando	F		S_KEG3	2015.06.26	6.7	8.2	6.9	Katumbi
JWC5	S_JWC5							Neonve	F				6.9	8.4		Kimomo (Heinz)
JUA1	S_JUA1							Simbab	M		S_JUA1	2015.01.05	6.4	7.7	7.55	Kitaza south
JCE9	S_JCE9							Tylpol	M		S_JCE9	2014.07.31	21.9	26.5	248.5	Chipwa Fishermen
JCF1	S_JCF1							Oretan	M		S_JCF1	2014.07.31	23.6	29.1	416.0	Chipwa Fishermen
JCF3	S_JCF2							Boumic	M			2014.08.01	48.3	59.0	1880.0	Chipwa Fishermen
JCF2	S_JCF2	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JCF2_A	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JCF2_B	Boumic	M			2014.08.01	48.3	59.0	1880.0	Chipwa Fishermen
JCF4	S_JCF4							Oretan	NA		S_JCF4	2014.08.01	20.3	24.2	269.1	Chipwa Fishermen
JCF5	S_JCF5							Oretan	NA		S_JCF5	2014.08.01	20.7	25.1	272.6	Chipwa Fishermen
JDE3	S_JDE3	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JDE3		Bathor	M			2014.08.02	15.2	18.5	51.3	Chipwa Fishermen
JDE4	S_JDE4	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JDE4_A	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JDE4_B	Bathor	M?			2014.08.02	16.3	19.6	62.2	Chipwa Fishermen
LBA9	S_LBA9							Pleela	F		S_LBA9	2015.08.01	17.4	21.3	85.8	Chipwa Fishermen
LBB1	S_LBB1							Pleela	M?		S_LBB1	2015.08.01	14.3	17.3	47.8	Chipwa Fishermen
LBB2	S_LBB2							Batleo	F		S_LBB2	2015.08.01	26.4	31.9	237.0	Chipwa Fishermen
LBB3	S_LBB3							Batvit	M		S_LBB3	2015.08.01	21.0	24.8	117.0	Chipwa Fishermen
LBB4	S_LBB4							Batvit	F		S_LBB4	2015.08.01	26.7	32.2	253.0	Chipwa Fishermen
LBB5	S_LBB5	true	Fabrizia	false	false			Hemste	M		S_LBB5	2015.08.01	20.6	26.1	159.0	Chipwa Fishermen
LBB6	S_LBB6	true	Fabrizia	false	false			Hemste	F		S_LBB6	2015.08.01	19.1	23.3	117.0	Chipwa Fishermen
LBB7	S_LBB7	true	Fabrizia	false	false			Hemste	F		S_LBB7	2015.08.01	18.4	22.5	99.1	Chipwa Fishermen
LBB8	S_LBB8							Tremac	M		S_LBB8	2015.08.01	7.6	9.6	7.1	Chipwa Fishermen
LBB9	S_LBB9							Tremac	M		S_LBB9	2015.08.01	9.2	10.8	11.6	Chipwa Fishermen
LBC1	S_LBC1							Tremac	F		S_LBC1	2015.08.01	9.2	11.7	13.7	Chipwa Fishermen
LBC2	S_LBC2							Xensim	F		S_LBC2	2015.08.01	12.1	14.9	37.7	Chipwa Fishermen
LBC3	S_LBC3							Xchhec	NA		S_LBC3	2015.08.01	8.0	9.7	10.7	Chipwa Fishermen
LBC4	S_LBC4							Perecc	NA		S_LBC4	2015.08.01	7.6	9.5	7.9	Chipwa Fishermen
LBD3	S_LBD3							Batvit	M		S_LBD3	2015.08.02	26.9	32.1	229.0	Chipwa Fishermen
LBD4	S_LBD4							Xchhec	M		S_LBD4	2015.08.02	14.1	17.0	61.2	Chipwa Fishermen
LBD5	S_LBD5	true	Fabrizia	false	false			Hemste	F		S_LBD5	2015.08.02	22.7	27.7	193.0	Chipwa Fishermen
LBD6	S_LBD6	true	Fabrizia	false	false			Hemste	F		S_LBD6	2015.08.02	19.6	24.4	147.0	Chipwa Fishermen
PacBio5	S_LBD7							Tremar	M			2015.08.02	7.4	9.3	10.4	Chipwa Fishermen
LBD7	S_LBD7							Tremar	M			2015.08.02	7.4	9.3	10.4	Chipwa Fishermen
LBD8	S_LBD8							Tremar	M		S_LBD8	2015.08.02	7.9	9.7	10.0	Chipwa Fishermen
LBD9	S_LBD9							Trenig	M		S_LBD9	2015.08.02	6.8	8.5	6.8	Chipwa Fishermen
LBE1	S_LBE1							Trenig	F		S_LBE1	2015.08.02	7.4	9.4	7.8	Chipwa Fishermen
LBE2	S_LBE2	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LBE2		Xensim	M		S_LBE2	2015.08.02	10.7	13.2	31.6	Chipwa Fishermen
LBE3	S_LBE3							Xensim	M		S_LBE3	2015.08.02	11.0	13.7	32.5	Chipwa Fishermen
LBE4	S_LBE4							Xensim	M		S_LBE4	2015.08.02	11.1	14.4	33.7	Chipwa Fishermen
LBE5	S_LBE5							Xensim	M		S_LBE5	2015.08.02	11.8	13.8	30.8	Chipwa Fishermen
LBE6	S_LBE6							Xensim	M		S_LBE6	2015.08.02	10.9	13.8	32.4	Chipwa Fishermen
LBE7	S_LBE7							Xensim	M		S_LBE7	2015.08.02	10.7	13.4	30.2	Chipwa Fishermen
LBE8	S_LBE8							Xensim	F?		S_LBE8	2015.08.02	12.1	14.8	40.9	Chipwa Fishermen
LBE9	S_LBE9	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LBE9		Xensim	F		S_LBE9	2015.08.02	11.3	14.2	35.2	Chipwa Fishermen
LBF1	S_LBF1							Xensim	F		S_LBF1	2015.08.02	11.2	14.0	32.7	Chipwa Fishermen
LBF2	S_LBF2							Xensim	F		S_LBF2	2015.08.02	11.0	14.0	30.0	Chipwa Fishermen
LBF4	S_LBF4							Baicen	F		S_LBF4	2015.08.04	13.5	16.4	35.2	Chipwa Fishermen
LBF5	S_LBF5							Baicen	M		S_LBF5	2015.08.04	11.8	14.5	24.9	Chipwa Fishermen
LBF6	S_LBF6							Plemul	F		S_LBF6	2015.08.04	8.4	10.3	10.9	Chipwa Fishermen
LBG2	S_LBG2							Perecc	M		S_LBG2	2015.08.04	12.5	15.8	40.3	Chipwa Fishermen
LDA7	S_LDA7	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LDA7		Bentri	M		S_LDA7	2015.08.07	15.3	19.0	53.6	Chipwa Fishermen
LDA8	S_LDA8							Bentri	M		S_LDA8	2015.08.07	16.0	19.7	62.0	Chipwa Fishermen
LDA9	S_LDA9	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LDA9		Bentri	F		S_LDA9	2015.08.07	17.6	20.4	77.0	Chipwa Fishermen
LDB1	S_LDB1							Bentri	M		S_LDB1	2015.08.07	13.3	16.5	38.0	Chipwa Fishermen
LDB2	S_LDB2							Bentri	M		S_LDB2	2015.08.07	15.3	19.0	55.9	Chipwa Fishermen
LDB3	S_LDB3							Bentri	M		S_LDB3	2015.08.07	14.1	17.4	46.1	Chipwa Fishermen
LDB4	S_LDB4							Bentri	M		S_LDB4	2015.08.07	16.7	20.2	68.8	Chipwa Fishermen
LDB5	S_LDB5							Bentri	M		S_LDB5	2015.08.07	14.0	17.6	44.1	Chipwa Fishermen
LDB6	S_LDB6							Bentri	M		S_LDB6	2015.08.07	16.6	20.2	77.6	Chipwa Fishermen
LDB7	S_LDB7							Bentri	M		S_LDB7	2015.08.07	14.1	17.4	44.7	Chipwa Fishermen
LDB8	S_LDB8							Bentri	F		S_LDB8	2015.08.07	15.6	19.5	62.4	Chipwa Fishermen
LHI3	S_LHI3							Perecc	M		S_LHI3	2015.08.25	13.0	16.0	36.5	Chipwa Fishermen
LHI4	S_LHI4	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LHI4		Pleela	M		S_LHI4	2015.08.25	15.9	19.2	66.0	Chipwa Fishermen
